St Andrews Heart Start,Strathkinness,Strathkinness,Fife,KY16 9SB,56.334583,-2.8770119
TIRORAN HOUSE HOTEL,Tiroran House Hotel,ISLE OF MULL,,PA69 6ES,56.377776,-6.0771573
FERRY SHOP,The Ferry Shop,ISLE OF MULL,,PA66 6BL,56.324687,-6.3635023
BUNESSAN FIRE STATION,Bunessan Fire Station,ISLE OF MULL,,PA67 6DG,56.318289,-6.2339619
ULVA PRIMARY SCHOOL,Ulva Primary School,ISLE OF MULL,,PA73 6LT,56.49687,-6.1363335
IONA WAITING ROOM NEAR FERRY SLIP,Iona Waiting room opposite the Ferry Slipway,ISLE OF IONA,,PA76 6SJ,56.331086,-6.392842
OUTSIDE WALL RHS OF MAIN DOOR FLOTTA COMMUNITY CENTRE,GENERAL AREA OF,FLOTTA STROMNESS,Orkney,KW16 3NP,58.825983,-3.1040612
RHS OF ENTRY ON EXTERNAL WALL WEST GERINISH TAIGH CEILIDH,CILLE BHANAIN,WEST GERINISH ISLE OF SOUTH UI,Western Isles,HS8 5RP,57.353565,-7.3587665
/,Low Shore,Macduff,Banffshire,AB44 1RE,57.671923,-2.4945186
LHS OF MAIN ENT OF LIGHTHOUSE CHIPBAR (NEXT TO CO-OP),59 HIGH STREET,BANFF,Banffshire,AB45 1AN,57.663965,-2.5235072
St Andrews Heart Start,Newport-on-Tay,Newport-on-Tay,Fife,DD6 8AA,56.440072,-2.9418023
ON OUTSIDE WALL OF CHIP SHOP/FISH BAR,12A OLDMELDRUM ROAD,NEWMACHAR ABERDEEN,Aberdeenshire,AB21 0PN,57.265145,-2.1903945
PITMEDDEN PUBLIC HALL- ON GABLE WALL OPPOSITE PITMEDDEN PRIMARY SCHOOL,TARVES ROAD,PITMEDDEN ELLON,Aberdeenshire,AB41 7PB,57.339419,-2.1818582
THE MANOR COUNTRY HOUSE HOTEL- TOP OF CAR PARK,LOCHERBIE ROAD,TORTHORWALD DUMFRIES,Dumfriesshire,DG1 3PT,55.091083,-3.5154927
IN OLD PHONE KIOSK BESIDE KEEPERS COTTAGE,GENERAL AREA OF,EREDINE DALMALLY,Argyll,PA33 1BP,56.231706,-5.2776454
(MELVIN HALL) SIDE OF BUILDING AT PHONE BOX,DUTHIE ROAD,TARVES ELLON,Aberdeenshire,AB41 7JX,57.370184,-2.2264033
EXTERIOR WALL BY ENTRANCE BARTHOL CHAPEL PRIMARY SCHOOL,GENERAL AREA OF,BARTHOL CHAPEL INVERURIE,Aberdeenshire,AB51 8TD,57.396621,-2.3103245
AT ENTRANCE TO SPAR,2-6 MAIN STREET,CERES CUPAR,Fife,KY15 5NA,56.29306,-2.9715789
MURCAR LINKS GOLF CLUB- IN GREENKEEPERS SHED,GENERAL AREA OF,BRIDGE OF DON ABERDEEN,Aberdeenshire,AB23 8BD,57.201012,-2.0893219
ROYAL ABERDEEN GOLF CLUB-ON LHS OF WALL AS YOU ENTER CLUB,LINKS ROAD,BRIDGE OF DON ABERDEEN,Aberdeenshire,AB23 8AT,57.179717,-2.0840931
AT FRONT DOOR INSIDE BRANCH OF RBS,UNION STREET,ABERDEEN,Aberdeenshire,AB10 1HH,57.146946,-2.0981815
ABOYNE GOLF CLUB,GOLF ROAD,ABOYNE,Aberdeenshire,AB34 5HP,57.079733,-2.7728761
GLASGOW GOLF CLUB KILLERMONT- IN OFFICE IN GREENS SHED,GENERAL AREA OF,BEARSDEN GLASGOW,,G61 2TW,55.908289,-4.3021445
ON RHS OF SHOP ENTRANCE TO THE CENTRE,UNNAMED ROAD,STRONTIAN ACHARACLE,Argyll,PH36 4HZ,56.69275,-5.5683078
AT FRONT DOOR INSIDE BRANCH OF RBS,10 GORDON STREET,CITY CENTRE GLASGOW,,G1 3PL,55.860205,-4.2551444
ON WALL FACING MAIN ROAD OF ALFORD AMBULANCE STATION,BALFOUR ROAD,ALFORD,Aberdeenshire,AB33 8NF,57.233083,-2.7066073
IN TICKET OFFICE AT WEST STREET UNDERGROUND STATION,281 WEST STREET,TRADESTON GLASGOW,,G5 8LG,55.848627,-4.2654968
ON FRONT OF BUILDING OF TOWIE HALL,UNNAMED ROAD,GLENKINDIE ALFORD,Aberdeenshire,AB33 8RN,57.203277,-2.9298709
ON EAST FACING WALL OF CENTRAL GARAGE,GENERAL AREA OF,GLENKINDIE ALFORD,Aberdeenshire,AB33 8RE,57.2123,-2.9365548
ON RHS OF MAIN ENTRANCE OF TULLYNESSLE AND FORBES HALL,UNNAMED ROAD,TULLYNESSLE ALFORD,Aberdeenshire,AB33 8QN,57.25125,-2.723429
IN TICKET OFFICE AT ST GEORGES CROSS SUBWAY STATION,St Georges Cross Subway Station,GLASGOW,Glasgow,G4 9AH,55.871625,-4.2709605
SCOTMID Coop,37 HIGH STREET,AVOCH,Ross-Shire,IV9 8PT,57.567278,-4.1690944
SCOTMID Coop,38 MAIN STREET,BALLANTRAE GIRVAN,Ayrshire,KA26 0NB,55.101147,-5.0049243
IN TICKET OFFICE AT SHIELDS ROAD UNDERGROUND,Shields Rd Subway Station,GLASGOW,,G5 8QF,55.850045,-4.2753728
Belhelvie Community First Responders,Balmedie Leisure Centre (LHS of main entrance),Balmedie,Aberdeenshire,AB23 8YF,57.250266,-2.0566777
IN TICKET OFFICE AT KINNING PARK UNDERGROUND STATION,CORNWALL STREET,KINNING PARK GLASGOW,,G41 1AQ,55.851768,-4.2876161
O/S WALL FACING CAR PARK AT KING GEORGE 5TH PAVILION,DEE STREET,ABERDEEN,Aberdeenshire,AB11 6AW,57.143896,-2.1038249
IN TICKET OFFICE AT KELVINBRIDGE UNDERGROUND,99 SOUTH WOODSIDE ROAD,MARYHILL GLASGOW,,G4 9HJ,55.87432,-4.2797505
UNDERNEATH CANOPY ON RHS AT BALDARROCH CREMATORIUM,UNNAMED ROAD,CRATHES BANCHORY,Kincardineshire,AB31 5JL,57.0609,-2.4159579
ON SIDE WALL FACING MAIN ROAD (B9121) PARISH HALL,UNNAMED ROAD,ALVAH BANFF,Banffshire,AB45 3XB,57.59309,-2.5475805
IN TICKET OFFICE AT COWCADDEN SUBWAY STATION,Cowcaddens Subway Station,GLASGOWlasgow,,G4 0SN,55.868824,-4.2595602
IN TICKET OFFICE AT CESSNOCK Subway STATION,Cessnock Subway Station,GLASGOW,,G51 1AS,55.852367,-4.2945216
ON O/S WALL LHS OF MAIN ENT AT DUFF HOUSE ROYAL GOLF CLUB,UNNAMED ROAD,BANFF,Banffshire,AB45 3SX,57.660974,-2.5212686
IN TICKET OFFICE AT BRIDGE STREET SUBWAY STATION,Bridge St Subway Station,GLASGOW,,G5 9NR,55.852014,-4.2582646
O/S WALL TO LHS OF MAIN ENTRANCE TO BANFF SPRINGS HOTEL,GOLDEN KNOWES ROAD,BANFF,Banffshire,AB45 2JE,57.667395,-2.5389111
Strathclyde Passenger Transport,131 ST VINCENT STREET,CITY CENTRE GLASGOW,Glasgow,G2 5JF,55.861558,-4.2592661
ON O/S WALL TO LHS OF MAIN ENTRANCE TO TESCO,CARMELITE STREET,BANFF,Banffshire,AB45 1AF,57.66465,-2.5207179
Belhelvie Community First Responders,Cadger Garage (MOT parking area),Belhelvie,Aberdeenshire,AB23 8YU,57.247964,-2.0916232
BACK RECEPTION IN CLIIC WING AT MARYHILL HEALTH CENTRE,51 GAIRBRAID AVENUE,MARYHILL GLASGOW,,G20 8AB,55.880907,-4.2880193
SCOTMID Coop,9-11 BRANDER STREET,BURGHEAD ELGIN,Morayshire,IV30 5XD,57.702271,-3.4911968
LHS OF BUILDING NEAR FRONT DOOR AT VICTORIA HALL,18 HIGH STREET,CROMARTY,Ross-Shire,IV11 8YR,57.680682,-4.0364988
ON LHS OF WALL AT MAIN ENTRANCE TO POLICE STATION 2,FRENCH STREET,DALMARNOCK GLASGOW,,G40 4EG,55.8443,-4.2156
Semi-Chem,427-429 VICTORIA ROAD,GOVANHILL GLASGOW,,G42 8RW,55.835972,-4.2646008
CRUDEN BAY GOLF CLUB,AULTON ROAD,CRUDEN BAY PETERHEAD,Aberdeenshire,AB42 0NN,57.415019,-1.8616335
CULLEN GOLF CLUB,The Links,CULLEN BUCKIE,Banffshire,AB56 4WB,57.693399,-2.8322846
ON RHS OF MAIN DOOR OF CAMERON AUTOTECH LTD,23 HIGH STREET,CUMINESTOWN TURRIFF,Aberdeenshire,AB53 5YD,57.542291,-2.3316251
TESCO EXTRA,6B AITKEN STREET,LARGS,Ayrshire,KA30 8AU,55.794108,-4.8668192
ON WALL NEXT TO ENTRNCE OF VILLAGE HALL,WELLBRAE,DAVIOT,Aberdeenshire,AB51 0NF,57.344329,-2.4196907
BALLACHULISH MEDICAL CENTRE,LOAN FERN,BALLACHULISH,Argyll,PH49 4JB,56.676855,-5.1308989
DEERNESS COMMUNITY CENTRE **LOCATION BELOW,UNNAMED ROAD,DEERNESS ORKNEY,,KW17 2QL,58.944034,-2.7691137
SHOTTS GOLF CLUB BLAIRHEAD- AT MAIN ENTRANCE DOORS,BENHAR ROAD,SHOTTS,Lanarkshire,ML7 5BJ,55.828257,-3.7850802
DRUMPELLIER GOLF CLUB,GENERAL AREA OF,COATBRIDGE,Lanarkshire,ML5 1RX,55.868923,-4.0657487
ON WOODEN SHED AT SIDE OF HOUSE REDWOOD HOUSE,GENERAL AREA OF,EDINBANE PORTREE,Isle Of Skye,IV51 9PN,57.498126,-6.4410728
ON FRONT WALL OF NEWBURGH PUBLIC HALL,MAIN STREET,NEWBURGH ELLON,Aberdeenshire,AB41 6BL,57.319312,-2.0030722
GLASGOW GOLF CLUB- AT RECEPTION,GAILES,IRVINE,Ayrshire,KA11 5AE,55.590179,-4.6624038
SCOTMID Coop,HIGH STREET,LENNOX FOCHABERS,Morayshire,IV32 7DH,57.61482,-3.099014
IN FOYER OF THE VILLAGE HALL,GENERAL AREA OF,OLDHAMSTOCKS COCKBURNSPATH,Berwickshire,TD13 5XN,55.927678,-2.4163252
ROYAL TROON GOLF CLUB- BEHIND FRONT DESK COUNTER,GENERAL AREA OF,TROON,Ayrshire,KA10 6EP,55.532636,-4.6506513
ON EXTERNAL WALL TO RHS OF DOOR OF GRANT PARK PAVILION,SOUTH STREET,FORRES,Morayshire,IV36 1DE,57.610085,-3.6095922
STRANRAER GOLF CLUB- ON NORTH FACING WALL OF CLUBHOUSE,GENERAL AREA OF,STRANRAER,Wigtownshire,DG9 0LF,54.924745,-5.0700835
SOUTHERNESS GOLF CLUB,GENERAL AREA OF,SOUTHERNESS DUMFRIES,Dumfriesshire,DG2 8AZ,54.873596,-3.5971837
AT MAIN ENT OPP RECEPTION AT JUNIPER GREEN PRIMARY SCHOOL,BABERTON MAINS WYND,BABERTON EDINBURGH,Midlothian,EH14 3EE,55.907512,-3.2854099
POWFOOT GOLF CLUB- IN LOUNGE BAR,GENERAL AREA OF,POWFOOT ANNAN,Dumfriesshire,DG12 5QE,54.978274,-3.3436567
ON PANEL ON LHS OF ENTRANCE TO WILSONS FRUIT,119 HIGH STREET,MUSSELBURGH,Midlothian,EH21 7DA,55.942854,-3.0501933
IN PHONE BOX AT MAIN CAR PARK BESIDE VILLAGE HALL,SCHOOL ROAD,COLDINGHAM BERWICKSHIRE,Berwickshire,TD14 5NS,55.887334,-2.1601164
LOCHMABEN GOLF CLUB- INSIDE DOOR ADJACENT TO CAR PARK,CASTLEHILLGATE,LOCHMABEN LOCKERBIE,Dumfriesshire,DG11 1NT,55.127032,-3.4406163
SCOTMID Coop,FORRES ROAD,NAIRN,Nairnshire,IV12 5AA,57.58542,-3.8628479
THE ROYAL BANK OF SCOTLAND PLC,1 MONCRIEFF STREET,PAISLEY,Renfrewshire,PA3 2AW,55.847842,-4.4240897
FORTROSE & ROSEMARKIE GOLF CLUB,NESS ROAD EAST,FORTROSE,Ross-Shire,IV10 8SE,57.581817,-4.1107434
ON OUTSIDE WALL AT FRONT OF CARDRONA VILLAGE HALL,GREEN LANE,CARDRONA PEEBLES,Peeblesshire,EH45 9LJ,55.637844,-3.104894
AT FRONT DOOR INSIDE BRANCH OF RBS,PRINCES SQUARE,EAST KILBRIDE GLASGOW,,G74 1LJ,55.760746,-4.1781005
FRONT OF BUILDING TO RHS OF DOOR OF WELLBANK VILLAGE HALL,APPLEHILL DRIVE,BROUGHTY FERRY DUNDEE,Angus,DD5 3UD,56.519824,-2.8578341
LUFFNESS NEW GOLF CLUB- JUST INSIDE FRONT DOOR,GENERAL AREA OF,ABERLADY LONGNIDDRY,East Lothian,EH32 0QA,56.017902,-2.8346404
AT FRONT DOOR INSIDE BRANCH OF RBS,MAIN STREET,BOWMORE ISLE OF ISLAY,,PA43 7JJ,55.756685,-6.2875631
OUTSIDE WALL OF FORTROSE FIRE STATION,STATION SQUARE,FORTROSE,Ross-Shire,IV10 8WA,57.582234,-4.1334674
ON WALL OF CARNOUSTIE ACCESS OFFICE CORNER OF LOCHTY ST.,21 HIGH STREET,CARNOUSTIE,Angus,DD7 6AN,56.501462,-2.7079492
IN CANTEEN NEAR 1ST CAR PARK AT  KAMES FISH FARMING LTD,GENERAL AREA OF,KILMELFORD OBAN,Argyll,PA34 4XA,56.255338,-5.4908873
ON FRONT WALL OF FORTROSE BOWLING CLUB,CASTLE STREET,FORTROSE,Ross-Shire,IV10 8TH,57.58166,-4.1286663
OUTSIDE SHOP ENTRANCE ON RHS  OF LOCO 2,MAIN STREET,CAIRNBULG FRASERBURGH,Aberdeenshire,AB43 8YJ,57.677329,-1.9338247
ON WALL INSIDE RECEPTION DESK AT POLICE SCOTLAND COLLEGE,EAGLESHAM ROAD,EAST KILBRIDE GLASGOW,,G75 8GR,55.753946,-4.2364003
Carnoustie First Responders,Spar,CARNOUSTIE,Angus,DD7 7EA,56.500658,-2.7132949
WESTERN PIER HARBOUR OFFICE ON EXTERNAL WALL,UNNAMED ROAD,GARDENSTOWN BANFF,Banffshire,AB45 3EX,57.669349,-2.3311756
Monquhitter Amenities,Crosslet  Main Street,TURRIFF,Aberdeenshire,AB53 5TQ,57.558048,-2.3240475
Carnoustie First Responders,Premier Convenience Store,CARNOUSTIE,Angus,DD7 7QL,56.500527,-2.7266779
AT RECEPTION OF PRINCESS STREET TRAM STOP,PRINCES STREET,EDINBURGH,,EH2 2BB,55.95217,-3.1980541
KEPT IN 4TH OFFICE ON RHS ON SHELF AT INCHMORE HATCHERY,UNNAMED ROAD,GLENMORISTON INVERNESS,Inverness-Shire,IV63 7YN,57.170828,-4.8479111
UNIONIST CLUB- ON O/S WALL ROUND THE CORNER FROM BUS STOP,Peebles Road,INNERLEITHEN,Peeblesshire,EH44 6QZ,55.61757,-3.0665815
OUTSIDE MAIN DOOR OF BARREMANN BOWLING CLUB,PIER ROAD,CLYNDER HELENSBURGH,Dunbartonshire,G84 0PP,56.02281,-4.8163446
ON SHED TO LEFT OF MAIN DOOR OF NORTH UNST PUBLIC HALL,HAROLDSWICK,UNST SHETLAND,Shetland Islands,ZE2 9ED,60.790166,-0.83221366
TO RHS OF DOOR AT UNST FIRE STATION,UNNAMED ROAD,UNST SHETLAND,Shetland Islands,ZE2 9DS,60.764962,-0.84361083
ON LHS OF WALL AFTER MAIN ENTRANCE OF SCOTTISH WATER,35 GLENBURN ROAD,PRESTWICK,Ayrshire,KA9 2NS,55.499517,-4.5916704
RHS OF MAIN DOOR OF UYEASOUND HALL,UNNAMED ROAD,UNST SHETLAND,Shetland Islands,ZE2 9DL,60.687265,-0.89657148
ON CHURCH WALL ADJACENT TO MEMORIAL PINACLE,STAIR STREET,DRUMMORE STRANRAER,Wigtownshire,DG9 9PT,54.691605,-4.8963835
NEXT TO MALE WC AT RECEPTION HODDOM CASTLE CARAVAN PARK,GENERAL AREA OF,HODDOM LOCKERBIE,Dumfriesshire,DG11 1AS,55.039802,-3.3195348
LHS OF ENTRANCE TO VALE & LEITHEN SOCIAL CLUB,2 LEITHEN CRESCENT,INNERLEITHEN,Peeblesshire,EH44 6JL,55.61857,-3.0611306
NAIRN GOLF CLUB HOUSE- ON WALL NEXT TO ELEVATOR,SEABANK ROAD,NAIRN,Nairnshire,IV12 4HB,57.587607,-3.8958161
TWEEDSIDE CARAVAN PARK -THE TOW BAR- RHS OF MAIN ENTRANCE,MONTGOMERY STREET,INNERLEITHEN,Peeblesshire,EH44 6JS,55.618758,-3.0538792
IN CABINET TO LEFT OF MAIN DOOR OF COLQUHOUN ARMS HOTEL,MAIN ROAD,LUSS ALEXANDRIA,Dunbartonshire,G83 8NY,56.10094,-4.6398546
LHS OF MAIN ENT NEAR CAR PARK OF ST RONANS SCHOOL,PIRN ROAD,INNERLEITHEN,Peeblesshire,EH44 6PB,55.622358,-3.0543569
BY RECEPTION DESK TO RHS OF ENTRANCE OF VICTORIA HALLS,82 SINCLAIR STREET,HELENSBURGH,Dunbartonshire,G84 8TU,56.007796,-4.7309898
WALKERBURN VILLAGE HALL- ON EXTERNAL WALL FACING HALL ST,HALL STREET,WALKERBURN,Peeblesshire,EH43 6AE,55.623655,-3.0123405
ON WALL OPPOSITE RECEPTION DESK,Tarbet Hotel,Tarbet,Dunbartonshire,G83 7DE,56.205035,-4.7098642
ON EXTERNAL WALL AT HENRY BALLANTYNE MEMORIAL CLUB,27 CABERSTON ROAD,WALKERBURN,Peeblesshire,EH43 6AT,55.622571,-3.0184739
MORAY GOLF CLUB,STOTFIELD ROAD,LOSSIEMOUTH,Morayshire,IV31 6QS,57.720564,-3.2967951
BESIDE MAIN DOOR AT HELENSBURGH LIBRARY,59 WEST KING STREET,HELENSBURGH,Dunbartonshire,G84 8EB,56.005865,-4.7374149
TRAQUAIR VILLAGE HALL- TO RHS OF MAIN ENTRANCE ON WALL,UNNAMED ROAD,TRAQUAIR INNERLEITHEN,Peeblesshire,EH44 6PL,55.598963,-3.0631722
AT FRONT DOOR INSIDE BRANCH OF RBS,GENERAL AREA OF,STORNOWAY,Isle Of Lewis,HS1 2XH,58.208198,-6.3800425
ON SIDE OF HOUSE 7 UPPER,UNNAMED ROAD,EDINBANE PORTREE,Isle Of Skye,IV51 9PR,57.474463,-6.4265261
ON SIDE OF HOUSE 6 FLASHADDER,UNNAMED ROAD,EDINBANE PORTREE,Isle Of Skye,IV51 9PT,57.491385,-6.423834
ON SIDE OF SHED OF HOUSE DRUMOREL,UNNAMED ROAD,SULADALE PORTREE,Isle Of Skye,IV51 9PA,57.492775,-6.3752967
ON SIDE OF HOUSE 3 FANKS,GENERAL AREA OF,EDINBANE PORTREE,Isle Of Skye,IV51 9PX,57.498689,-6.4071114
ON THE OUTSIDE WALL OF PREMIER STORES,6 LOCH STREET,WHITEHILLS BANFF,Banffshire,AB45 2LT,57.676737,-2.5774458
NEXT TO ENTRANCE OF VILLAGE HALL,18 BURNETT STREET,STUARTFIELD PETERHEAD,Aberdeenshire,AB42 5DN,57.505271,-2.0457766
ON EXTERNAL WALL OF INNERLEITHEN GOLF CLUBHOUSE,GENERAL AREA OF,INNERLEITHEN,Peeblesshire,EH44 6NL,55.648549,-3.0670899
HANGING O/S DOOR OF LEARNING CENTRE BEHIND PRIMARY SCH,GENERAL AREA OF,ISLE OF EIGG,,PH42 4RL,56.90188,-6.1427488
/,Gordon Memorial Hall,ROSEMARKIE FORTROSE,Ross-Shire,IV10 8UE,57.590516,-4.1170534
COUNCIL OFFICES- ASK RECEPTION STAFF,2 HIGH STREET,PERTH,Perthshire,PH1 5PH,56.39668,-3.4260672
UNDER CANOPY AT FRONT OF BUILDING OF OLDMELDRUM GOLF CLUB,KIRK BRAE,OLDMELDRUM INVERURIE,Aberdeenshire,AB51 0DJ,57.336222,-2.3134691
AT ENTRANCE TO MELDRUM ACADEMY,COLPY ROAD,OLDMELDRUM INVERURIE,Aberdeenshire,AB51 0NT,57.337325,-2.3317348
Maud Village Trust,Old Mart Resource Centre,Maud Peterhead,Aberdeenshire,AB42 4EG,57.52121,-2.1297897
INSIDE PHONEBOX O/S THE OLD LIBRARY,UNNAMED ROAD,UDNY GREEN ELLON,Aberdeenshire,AB41 7RS,57.327379,-2.2009965
COUNCIL OFFICES- ASK RECEPTION STAFF,35 KINNOULL STREET,PERTH,Perthshire,PH1 5GD,56.397792,-3.4317471
BEHIND RECEPTION DESK AT TEVIOT ROW HOUSE,BRISTO SQUARE,NEWINGTON EDINBURGH,,EH8 9AJ,55.944921,-3.1886233
AT RECEPTION DESK ASK STAFF AT 5/2 THE POTTEROW,BRISTO SQUARE,EDINBURGH,,EH8 9AL,55.946158,-3.1879727
NORTH END OF LAGEORNA B&B HANGING ON COATSTAND INSIDE ENT,UNNAMED ROAD,ISLE OF EIGG,,PH42 4RL,56.90188,-6.1427488
ON EXTERNL WALL OF FYFE PARK HEALTH CLINIC (56),FYFE PARK,KEMNAY INVERURIE,Aberdeenshire,AB51 5NG,57.236794,-2.4358128
MUIRHOUSE COMMUNITY SHOP ASK STAFF,57 PENNYWELL ROAD,EDINBURGH,,EH4 4TY,55.971742,-3.2530254
OUTSIDE WALL RHS OF MAIN ENTRANCE COMMUNITY CENTRE,UNNAMED ROAD,TORRIDON ACHNASHEEN,Ross-Shire,IV22 2EZ,57.546808,-5.5130203
PEASE BAY LEISURE PARK,GENERAL AREA OF COCKBURNSPATH,COCKBURNSPATH,Berwickshire,TD13 5YP,55.931501,-2.3453028
AT RECEPTION ASK STAFF PERTH MUSEUM & ART GALLERY,GEORGE STREET,PERTH,Perthshire,PH1 5LB,56.398136,-3.427596
Semi-Chem,47 ALLARDICE STREET,STONEHAVEN,Kincardineshire,AB39 2AB,56.964704,-2.2085428
BY TILL ASK STAFF AT THE FERGUSON GALLERY,MARSHALL PLACE,PERTH,Perthshire,PH2 8NS,56.392089,-3.4268351
SCOTMID Coop,HIGH STREET,LAURENCEKIRK,Kincardineshire,AB30 1BJ,56.832586,-2.4671407
SCOTMID Coop,CRAIGOUR ROAD,TORPHINS BANCHORY,Kincardineshire,AB31 4HE,57.104205,-2.6208052
A K BELL LIBRARY- AT RECEPTION AREA ASKMSTAFF,YORK PLACE,PERTH,Perthshire,PH2 8EP,56.39554,-3.436847
TO RHS OF FRONT DOOR OF MASONIC HALL 84,HIGH STREET,LAURENCEKIRK,Kincardineshire,AB30 1BJ,56.832586,-2.4671407
Monymusk Village Hall,THE SQUARE,MONYMUSK,Aberdeenshire,AB51 7HJ,57.226421,-2.5244293
ASK RECEPTION AT FRIARTON COUNCIL DEPOT,FRIARTON ROAD,PERTH,Perthshire,PH2 8DF,56.37776,-3.4274005
ON EXTERNAL WALL FACING AQUITHIE ROAD OF VILLAGE HALL,8 AQUITHIE ROAD,KEMNAY INVERURIE,Aberdeenshire,AB51 5SS,57.235601,-2.4455892
SOUTH WALL PILLAR FACING CAR PARK,MARKET SQUARE,STONEHAVEN,Kincardineshire,AB39 2BA,56.964497,-2.2087225
OPPOSITE B847 RD JUCTION IN MIDDLE OF VILLAGE,UNNAMED ROAD,CALVINE PITLOCHRY,Perthshire,PH18 5UA,56.768332,-3.9577723
/,B9047,Stromness,Orkney Islands,KW16 3NJ,58.911968,-3.3304017
LHS OF FRONT WALL OF MAIN DOOR BLAIR ATHOLL VILLAGE HALL,B8079,BLAIR ATHOLL PITLOCHRY,Perthshire,PH18 5SP,56.766136,-3.8454793
ON WALL AT MAIN ENTRANCE TO MG ALBA,SEAFORTH ROAD,STORNOWAY,Isle Of Lewis,HS1 2SD,58.205285,-6.370858
AT SEATING AREA TO LHS OF STEWART & WATSON PROPERTY SHOP,2 MAIN STREET,TURRIFF,Aberdeenshire,AB53 4AD,57.538041,-2.4607671
AT RHS OF MAIN ENT TO FIFE ARMS HOTEL,THE SQUARE,TURRIFF,Aberdeenshire,AB53 4AE,57.539264,-2.4604485
BEHIND RECEPTION ON RHS IN CUPBOARD FISHERS HOTEL 75-79,ATHOLL ROAD,PITLOCHRY,Perthshire,PH16 5BN,56.703094,-3.7347972
SCOTTISH NATURAL HERITAGE- ON SIDE WALL OF BROWN CABIN,PIER ROAD,KINROSS,Kinross-Shire,KY13 8UF,56.199731,-3.4166533
OUTSIDE FIRST PHOTOGRAPHICS,THE SQUARE,KINTORE INVERURIE,Aberdeenshire,AB51 0UA,57.237086,-2.3448157
ON OUTSIDE WALL OF ENTRANCE TO PARISH CHURCH,UNNAMED ROAD,FORGLEN TURRIFF,Aberdeenshire,AB53 4JU,57.558006,-2.5324305
St Andrews Heart Start,Craigtoun Country Park St Andrews,ST ANDREWS,Fife,KY16 8NX,56.317817,-2.8382792
ON OUTSIDE WALL OF ICE CREAM SHOP,SEAFIELD STREET,PORTSOY BANFF,Banffshire,AB45 2QT,57.681426,-2.6886996
ON EXTERNAL WALL FACING ROAD AT MACDUFF HEALTH CLINIC,100 DUFF STREET,Macduff,Banffshire,AB44 1PR,57.665915,-2.4896429
AT RHS OF RECEPTION IN AXIS CENTRE,9 SCHOOL ROAD,NEWMACHAR ABERDEEN,Aberdeenshire,AB21 0WB,57.264961,-2.1870446
ASK STAFF AT DEVERON DENTAL CENTRE***,OGILVIE AVENUE,HUNTLY,Aberdeenshire,AB54 8AT,57.442202,-2.7907353
IN LOCKED CABINET TO RHS OF VILLAGE HALL,STATION ROAD,HATTON PETERHEAD,Aberdeenshire,AB42 0HZ,57.423554,-1.9132183
AT END OF BUILDING NR PUBLIC TOILETS AT J G ROSS (BAKERS),MARKET SQUARE,OLDMELDRUM INVERURIE,Aberdeenshire,AB51 0AA,57.335236,-2.3197894
Belhelvie Community First Responders,Potterton Community Centre,Potterton,Aberdeenshire,AB23 8UE,57.227922,-2.0931965
